기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00_06_매출_건수,시간대_06_11_매출_건수,시간대_11_14_매출_건수,시간대_14_17_매출_건수,시간대_17_21_매출_건수,시간대_21_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,위도,경도,lat,lon,중분류_매핑,300m내_경쟁_업종_수
20191,A,골목상권,3110139,자양4동주민센터,1872132,922159,949974,209200,248762,304527,298774,333041,477828,552884,394496,185091,179877,292324,267462,266940,269248,266008,266718,265654,267514,270052,HH,정체,105,49,93,48,,,,,,,,,,,,,,,,,,,,,,,,,2495157,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100001,한식음식점,30,31,16,5,3,1,1,129839257,3679,97069454,32769803,19050647,8738676,15474690,33306228,20499213,14709052,18060751,14418311,4869234,27896968,12216025,29659378,40779341,108386899,20922028,797408,13307615,16125485,45505931,19830686,33741803,2631,1048,519,505,507,483,617,490,558,198,83,968,403,1300,727,2225,1429,37,1025,755,675,621,541,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,한식,46
20191,A,골목상권,3110139,자양4동주민센터,1872132,922159,949974,209200,248762,304527,298774,333041,477828,552884,394496,185091,179877,292324,267462,266940,269248,266008,266718,265654,267514,270052,HH,정체,105,49,93,48,,,,,,,,,,,,,,,,,,,,,,,,,2495157,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100002,중식음식점,3,3,0,0,33,1,0,20578080,1323,11722366,8855714,1913927,2934760,2004784,1827001,3041894,3089860,5765854,1749833,53227,7302296,4126009,6455165,891550,13206748,5851530,0,2043809,9383504,2871694,4234154,525117,859,464,145,208,158,158,190,166,298,185,7,485,169,371,106,918,308,0,163,646,138,238,41,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,중식,2
20191,A,골목상권,3110139,자양4동주민센터,1872132,922159,949974,209200,248762,304527,298774,333041,477828,552884,394496,185091,179877,292324,267462,266940,269248,266008,266718,265654,267514,270052,HH,정체,105,49,93,48,,,,,,,,,,,,,,,,,,,,,,,,,2495157,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100010,커피-음료,7,7,29,2,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,비알코올,21
20192,A,골목상권,3110139,자양4동주민센터,1909170,935110,974060,205359,268755,316062,305462,329921,483610,562375,398153,185423,183194,304836,275190,272974,270773,271384,270330,272278,276979,274450,HH,정체,105,49,93,49,,,,,,,,,,,,,,,,,,,,,,,,,2495157,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100001,한식음식점,29,30,3,1,7,2,1,129044869,4733,82977111,46067758,22927930,10871643,16572766,13484412,19120360,17184397,28883361,12899788,4399539,22925031,15674252,46840968,26305291,93946744,33574161,853441,21145327,18915479,45049538,22115524,19441595,3126,1607,639,635,590,592,670,789,818,163,88,1210,683,1877,712,2713,1947,59,1231,816,1123,896,534,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,한식,46
20192,A,골목상권,3110139,자양4동주민센터,1909170,935110,974060,205359,268755,316062,305462,329921,483610,562375,398153,185423,183194,304836,275190,272974,270773,271384,270330,272278,276979,274450,HH,정체,105,49,93,49,,,,,,,,,,,,,,,,,,,,,,,,,2495157,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100002,중식음식점,4,4,25,1,0,0,0,43876620,2434,26243770,17632850,4781938,4528463,4144211,8918316,3870842,9695979,7936871,5465893,970825,14351334,8906270,10825057,3357241,28994648,14002401,311499,5988433,9761504,12208884,8840763,5885966,1586,848,306,281,254,438,307,450,398,582,42,741,253,531,285,1757,608,29,415,530,743,505,144,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,중식,2
20192,A,골목상권,3110139,자양4동주민센터,1909170,935110,974060,205359,268755,316062,305462,329921,483610,562375,398153,185423,183194,304836,275190,272974,270773,271384,270330,272278,276979,274450,HH,정체,105,49,93,49,,,,,,,,,,,,,,,,,,,,,,,,,2495157,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100010,커피-음료,8,8,13,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,비알코올,21
20193,A,골목상권,3110139,자양4동주민센터,2035574,995220,1040352,220844,293171,349474,333117,338440,500529,608553,424566,198017,192449,317689,294299,291489,294540,297602,289355,291826,285561,285200,HL,상권축소,106,47,92,48,,,,,,,,,,,,,,,,,,,,,,,,,2495157,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100001,한식음식점,28,29,3,1,7,2,1,170880912,4233,84209035,86671877,18666679,14740145,11275818,10182764,29343629,57549241,29122636,47242449,2520431,26333592,9497864,37943851,47342725,138731602,26885302,368773,31577375,22146778,46511132,24576804,40436039,2824,1409,650,524,551,459,640,701,708,171,150,815,497,1640,960,2738,1371,22,998,763,898,899,529,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,한식,46
20193,A,골목상권,3110139,자양4동주민센터,2035574,995220,1040352,220844,293171,349474,333117,338440,500529,608553,424566,198017,192449,317689,294299,291489,294540,297602,289355,291826,285561,285200,HL,상권축소,106,47,92,48,,,,,,,,,,,,,,,,,,,,,,,,,2495157,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100002,중식음식점,5,5,20,1,0,0,0,20324807,1626,11562704,8762103,1519122,2574220,2366604,3349806,1752952,4840706,3921397,3293412,211049,9286157,633147,5823197,1077845,14738786,3272710,538175,2932580,4373062,6948111,1224407,1995163,1072,554,90,266,219,254,243,302,252,512,21,570,42,341,140,1280,255,21,321,384,588,103,118,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,중식,2
20193,A,골목상권,3110139,자양4동주민센터,2035574,995220,1040352,220844,293171,349474,333117,338440,500529,608553,424566,198017,192449,317689,294299,291489,294540,297602,289355,291826,285561,285200,HL,상권축소,106,47,92,48,,,,,,,,,,,,,,,,,,,,,,,,,2495157,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100010,커피-음료,10,11,27,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,비알코올,21
20194,A,골목상권,3110139,자양4동주민센터,2070392,1025931,1044461,216403,296330,353771,340959,352037,510893,609259,433182,200652,197653,329963,299681,295152,295216,293825,297330,302225,295918,290725,HL,상권축소,104,48,92,48,5581,2861,2720,475,773,861,811,1064,1597,224,402,494,433,564,744,251,371,367,378,500,853,3093,0,3093,2460503,6,1598822707,491577987,189401032,120911590,228477102,225434061,52705897,55681114,167169137,67464787,164,115,49,0,7,19,44,46,48,0,3,12,28,30,42,0,4,7,16,16,6,CS100001,한식음식점,29,30,13,4,10,3,1,296675386,10533,205042735,91632651,38448991,28118787,34028149,48909656,55537152,62923397,28709254,18045028,7206757,86531668,48003176,95466929,41421828,172364686,105778592,1330114,24073627,28666678,46952240,94193829,82926796,7862,2671,1429,1448,1192,1831,1962,1764,907,198,220,4048,2173,3001,893,4857,5246,80,1012,1403,1786,3202,2622,205610,448404,11215,광진구,11215847,자양4동,155861,37.535120964,127.06347301,37.535120964,127.06347301,한식,46
