기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,위도,경도,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00_06_매출_건수,시간대_06_11_매출_건수,시간대_11_14_매출_건수,시간대_14_17_매출_건수,시간대_17_21_매출_건수,시간대_21_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,lat,lon,중분류_매핑,300m내_경쟁_업종_수,점포_당_매출_금액,가장_가까운_역,역까지_거리_m,가장_가까운_역_승하차_인원_수,면적(㎡)
20191,A,골목상권,3110139,자양4동주민센터,1872132,922159,949974,209200,248762,304527,298774,333041,477828,552884,394496,185091,179877,292324,267462,266940,269248,266008,266718,265654,267514,270052,,,,,,,,,,,,,,,,,,,,,,,,,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HH,정체,105,49,93,48,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100001,한식음식점,30.0,31.0,16.0,5.0,3.0,1.0,1.0,129839257.0,3679.0,97069454.0,32769803.0,19050647.0,8738676.0,15474690.0,33306228.0,20499213.0,14709052.0,18060751.0,14418311.0,4869234.0,27896968.0,12216025.0,29659378.0,40779341.0,108386899.0,20922028.0,797408.0,13307615.0,16125485.0,45505931.0,19830686.0,33741803.0,2631.0,1048.0,519.0,505.0,507.0,483.0,617.0,490.0,558.0,198.0,83.0,968.0,403.0,1300.0,727.0,2225.0,1429.0,37.0,1025.0,755.0,675.0,621.0,541.0,37.53512096,127.063473,한식,46,4327975.233,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
20191,A,골목상권,3110139,자양4동주민센터,1872132,922159,949974,209200,248762,304527,298774,333041,477828,552884,394496,185091,179877,292324,267462,266940,269248,266008,266718,265654,267514,270052,,,,,,,,,,,,,,,,,,,,,,,,,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HH,정체,105,49,93,48,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100002,중식음식점,3.0,3.0,0.0,0.0,33.0,1.0,0.0,20578080.0,1323.0,11722366.0,8855714.0,1913927.0,2934760.0,2004784.0,1827001.0,3041894.0,3089860.0,5765854.0,1749833.0,53227.0,7302296.0,4126009.0,6455165.0,891550.0,13206748.0,5851530.0,0.0,2043809.0,9383504.0,2871694.0,4234154.0,525117.0,859.0,464.0,145.0,208.0,158.0,158.0,190.0,166.0,298.0,185.0,7.0,485.0,169.0,371.0,106.0,918.0,308.0,0.0,163.0,646.0,138.0,238.0,41.0,37.53512096,127.063473,중식,2,6859360.0,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
20191,A,골목상권,3110139,자양4동주민센터,1872132,922159,949974,209200,248762,304527,298774,333041,477828,552884,394496,185091,179877,292324,267462,266940,269248,266008,266718,265654,267514,270052,,,,,,,,,,,,,,,,,,,,,,,,,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HH,정체,105,49,93,48,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100010,커피-음료,7.0,7.0,29.0,2.0,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.53512096,127.063473,비알코올,21,,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
20192,A,골목상권,3110139,자양4동주민센터,1909170,935110,974060,205359,268755,316062,305462,329921,483610,562375,398153,185423,183194,304836,275190,272974,270773,271384,270330,272278,276979,274450,,,,,,,,,,,,,,,,,,,,,,,,,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HH,정체,105,49,93,49,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100001,한식음식점,29.0,30.0,3.0,1.0,7.0,2.0,1.0,129044869.0,4733.0,82977111.0,46067758.0,22927930.0,10871643.0,16572766.0,13484412.0,19120360.0,17184397.0,28883361.0,12899788.0,4399539.0,22925031.0,15674252.0,46840968.0,26305291.0,93946744.0,33574161.0,853441.0,21145327.0,18915479.0,45049538.0,22115524.0,19441595.0,3126.0,1607.0,639.0,635.0,590.0,592.0,670.0,789.0,818.0,163.0,88.0,1210.0,683.0,1877.0,712.0,2713.0,1947.0,59.0,1231.0,816.0,1123.0,896.0,534.0,37.53512096,127.063473,한식,46,4449823.069,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
20192,A,골목상권,3110139,자양4동주민센터,1909170,935110,974060,205359,268755,316062,305462,329921,483610,562375,398153,185423,183194,304836,275190,272974,270773,271384,270330,272278,276979,274450,,,,,,,,,,,,,,,,,,,,,,,,,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HH,정체,105,49,93,49,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100002,중식음식점,4.0,4.0,25.0,1.0,0.0,0.0,0.0,43876620.0,2434.0,26243770.0,17632850.0,4781938.0,4528463.0,4144211.0,8918316.0,3870842.0,9695979.0,7936871.0,5465893.0,970825.0,14351334.0,8906270.0,10825057.0,3357241.0,28994648.0,14002401.0,311499.0,5988433.0,9761504.0,12208884.0,8840763.0,5885966.0,1586.0,848.0,306.0,281.0,254.0,438.0,307.0,450.0,398.0,582.0,42.0,741.0,253.0,531.0,285.0,1757.0,608.0,29.0,415.0,530.0,743.0,505.0,144.0,37.53512096,127.063473,중식,2,10969155.0,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
20192,A,골목상권,3110139,자양4동주민센터,1909170,935110,974060,205359,268755,316062,305462,329921,483610,562375,398153,185423,183194,304836,275190,272974,270773,271384,270330,272278,276979,274450,,,,,,,,,,,,,,,,,,,,,,,,,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HH,정체,105,49,93,49,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100010,커피-음료,8.0,8.0,13.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.53512096,127.063473,비알코올,21,,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
20193,A,골목상권,3110139,자양4동주민센터,2035574,995220,1040352,220844,293171,349474,333117,338440,500529,608553,424566,198017,192449,317689,294299,291489,294540,297602,289355,291826,285561,285200,,,,,,,,,,,,,,,,,,,,,,,,,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HL,상권축소,106,47,92,48,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100001,한식음식점,28.0,29.0,3.0,1.0,7.0,2.0,1.0,170880912.0,4233.0,84209035.0,86671877.0,18666679.0,14740145.0,11275818.0,10182764.0,29343629.0,57549241.0,29122636.0,47242449.0,2520431.0,26333592.0,9497864.0,37943851.0,47342725.0,138731602.0,26885302.0,368773.0,31577375.0,22146778.0,46511132.0,24576804.0,40436039.0,2824.0,1409.0,650.0,524.0,551.0,459.0,640.0,701.0,708.0,171.0,150.0,815.0,497.0,1640.0,960.0,2738.0,1371.0,22.0,998.0,763.0,898.0,899.0,529.0,37.53512096,127.063473,한식,46,6102889.714,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
20193,A,골목상권,3110139,자양4동주민센터,2035574,995220,1040352,220844,293171,349474,333117,338440,500529,608553,424566,198017,192449,317689,294299,291489,294540,297602,289355,291826,285561,285200,,,,,,,,,,,,,,,,,,,,,,,,,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HL,상권축소,106,47,92,48,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100002,중식음식점,5.0,5.0,20.0,1.0,0.0,0.0,0.0,20324807.0,1626.0,11562704.0,8762103.0,1519122.0,2574220.0,2366604.0,3349806.0,1752952.0,4840706.0,3921397.0,3293412.0,211049.0,9286157.0,633147.0,5823197.0,1077845.0,14738786.0,3272710.0,538175.0,2932580.0,4373062.0,6948111.0,1224407.0,1995163.0,1072.0,554.0,90.0,266.0,219.0,254.0,243.0,302.0,252.0,512.0,21.0,570.0,42.0,341.0,140.0,1280.0,255.0,21.0,321.0,384.0,588.0,103.0,118.0,37.53512096,127.063473,중식,2,4064961.4,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
20193,A,골목상권,3110139,자양4동주민센터,2035574,995220,1040352,220844,293171,349474,333117,338440,500529,608553,424566,198017,192449,317689,294299,291489,294540,297602,289355,291826,285561,285200,,,,,,,,,,,,,,,,,,,,,,,,,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HL,상권축소,106,47,92,48,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100010,커피-음료,10.0,11.0,27.0,3.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.53512096,127.063473,비알코올,21,,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
20194,A,골목상권,3110139,자양4동주민센터,2070392,1025931,1044461,216403,296330,353771,340959,352037,510893,609259,433182,200652,197653,329963,299681,295152,295216,293825,297330,302225,295918,290725,5581.0,2861.0,2720.0,475.0,773.0,861.0,811.0,1064.0,1597.0,224.0,402.0,494.0,433.0,564.0,744.0,251.0,371.0,367.0,378.0,500.0,853.0,3093.0,0.0,3093.0,164.0,115.0,49.0,0.0,7.0,19.0,44.0,46.0,48.0,0.0,3.0,12.0,28.0,30.0,42.0,0.0,4.0,7.0,16.0,16.0,6.0,HL,상권축소,104,48,92,48,205610,448404,11215,광진구,11215847,자양4동,155861,37.53512096,127.063473,CS100001,한식음식점,29.0,30.0,13.0,4.0,10.0,3.0,1.0,296675386.0,10533.0,205042735.0,91632651.0,38448991.0,28118787.0,34028149.0,48909656.0,55537152.0,62923397.0,28709254.0,18045028.0,7206757.0,86531668.0,48003176.0,95466929.0,41421828.0,172364686.0,105778592.0,1330114.0,24073627.0,28666678.0,46952240.0,94193829.0,82926796.0,7862.0,2671.0,1429.0,1448.0,1192.0,1831.0,1962.0,1764.0,907.0,198.0,220.0,4048.0,2173.0,3001.0,893.0,4857.0,5246.0,80.0,1012.0,1403.0,1786.0,3202.0,2622.0,37.53512096,127.063473,한식,46,10230185.72,자양(뚝섬한강공원) (7호선),488.3,17849.315522,"155,861"
