서비스_업종_코드_명,상권_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_직장_인구_수,총_상주인구_수,연도,분기,분기_sin,분기_cos
중식음식점,3110139,1921100.1,968862.2,978278.4,244261.39,283496.7,339951.0,300892.12,329596.6,485341.38,554340.56,414011.1,209380.28,213583.97,316767.44,273661.16,280095.53,282403.97,281718.12,277210.47,280643.78,289484.2,286947.25,104.0,4940.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110140,2233563.2,1026849.75,1214956.1,189945.14,545624.25,370158.6,321128.28,315130.9,461100.3,616128.0,449784.06,239969.3,244053.33,382536.88,301657.16,307664.2,315474.47,311780.2,308461.56,314341.72,340279.94,344074.47,194.0,5105.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110141,1841923.8,865929.25,973457.7,149732.08,794213.44,318319.06,209763.56,154999.53,201587.84,498304.12,348647.88,188497.94,200908.3,337670.88,267466.44,247551.11,252104.8,257528.33,257477.94,268582.44,285214.8,268718.06,74.0,2945.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110142,1867511.4,906522.6,1021859.75,149214.75,842276.6,332695.56,205899.6,168158.42,221274.52,595918.06,420901.4,196534.16,178805.69,265067.38,249824.98,267932.56,265660.84,266552.97,270050.44,262582.6,280983.6,281077.12,89.0,6384.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110143,187839.44,89584.66,96944.89,36140.4,23743.16,27728.738,31648.648,28270.998,39449.08,47618.094,36880.973,21482.82,22452.846,33812.664,25448.047,26153.629,25489.523,26355.719,26067.695,26360.342,27665.912,28663.727,60.0,100.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110144,388481.5,173767.1,213014.22,25132.072,200819.11,67211.39,36141.254,28262.977,30548.914,117774.24,83630.61,39807.477,35878.04,58030.11,51926.664,53893.08,54355.688,55434.227,53751.914,54432.266,56924.22,57209.312,29.0,1994.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110145,266418.0,123884.99,142532.98,41900.383,111356.99,46830.3,26661.0,23312.828,31657.074,80470.01,59009.996,34797.996,31490.998,34626.04,32621.48,40470.996,41867.996,40588.996,40836.996,37681.996,33729.453,35027.16,9.0,546.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110146,1385390.6,647865.06,737176.25,283624.3,157248.05,223394.31,231914.34,200888.08,291408.4,417028.66,271006.2,141923.45,142632.64,219586.16,193046.84,194180.1,191934.72,196093.95,193124.44,194792.38,205027.14,204797.8,594.0,3483.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110147,930398.2,456361.34,476256.97,97333.37,269870.62,167015.11,127329.086,110392.68,162539.02,274417.78,197341.64,98153.44,95093.94,141255.34,126510.53,130452.27,131560.78,133307.89,131643.5,129887.7,134282.6,138448.25,225.0,6012.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110148,753670.2,363592.03,390076.97,76914.64,323171.97,126734.61,77845.99,65489.01,80136.02,183192.17,157362.98,96947.0,90554.99,121202.99,98506.84,108182.99,110921.02,110833.016,110733.99,107061.016,102688.46,103317.016,22.0,1588.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110149,188840.0,94690.52,95480.46,20271.115,58265.7,34325.03,27922.033,21316.705,25600.014,50364.09,40304.86,23866.166,23069.916,25202.04,23101.32,27649.0,27654.447,27923.002,27525.004,26988.092,25074.0,25410.002,214.0,1065.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110150,1756572.0,851104.6,901933.56,171185.73,343239.78,379686.06,272002.03,237308.08,345419.0,549384.75,368860.0,169116.9,167976.88,257956.25,242340.64,246408.75,246865.19,251128.23,248264.1,246796.45,257250.83,259932.33,1119.0,5501.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110151,1342573.9,646909.75,701637.3,211401.56,169391.92,232911.56,255600.9,198551.45,281564.0,415054.34,277348.94,133210.02,131389.25,204504.55,184082.95,188202.5,187899.69,186673.05,187162.05,188134.08,201242.27,208476.75,720.0,4293.0,2025,2,1.2246467991473532e-16,-1.0
