서비스_업종_코드_명,상권_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_직장_인구_수,총_상주인구_수
중식음식점,3110139,1994504.4,968324.25,1026181.44,246310.95,284429.9,341768.1,306266.1,329596.1,486132.1,554218.9,417965.1,208892.1,213661.06,326107.16,273661.12,283572.1,282525.1,285815.1,282572.1,284979.1,288307.1,286733.1,104.0,4940.0
중식음식점,3110140,2236020.2,1028493.06,1207527.6,190078.11,545369.8,370531.97,324512.97,344448.1,461079.84,616003.8,449772.03,239948.05,244062.05,382374.03,303860.9,307545.1,307277.1,311527.0,308523.03,314206.9,341329.9,345612.9,194.0,5105.0
중식음식점,3110141,1845460.6,869592.8,975865.6,149328.05,799402.9,326337.88,211215.92,155895.95,203278.98,498093.6,348581.78,191449.95,202777.95,337647.9,266906.75,249297.95,253542.62,259736.81,258016.95,268294.88,285780.9,270789.9,74.0,2945.0
중식음식점,3110142,1921262.6,901436.8,1019826.8,148946.06,841705.94,332328.1,205875.95,171122.98,221280.02,606291.8,421324.9,196492.95,180433.97,264264.9,252452.95,269592.7,269445.88,273274.9,270799.9,268625.9,280947.9,288574.9,89.0,6384.0
중식음식점,3110143,187763.8,89862.87,97900.9,36153.97,23952.988,27694.973,31915.951,28378.969,39666.82,47574.99,36948.953,21647.994,23092.994,33778.97,24718.957,26189.984,26017.963,26414.98,26265.941,26359.938,27878.973,28638.994,60.0,100.0
중식음식점,3110144,388276.9,173689.0,214586.88,25403.027,200812.92,67197.01,36161.99,28125.994,30576.006,117734.02,83524.94,39800.0,37099.99,58168.99,51948.992,53895.01,54556.004,55768.01,54801.92,54737.99,57011.945,57506.992,29.0,1994.0
중식음식점,3110145,305385.75,142555.48,162830.08,40641.426,129672.125,48160.688,30988.984,23110.977,32811.99,95660.77,68708.875,38084.258,33184.56,34942.5,34804.84,45782.67,45769.598,46697.695,46010.777,43446.812,38527.938,39150.914,9.0,546.0
중식음식점,3110146,1386514.6,648846.2,737668.2,281778.1,157248.06,224028.05,231583.33,200888.08,290991.1,418489.2,271332.1,140931.05,142058.05,220934.05,192771.16,194665.05,194224.11,196108.12,195585.34,196271.25,204302.05,205359.05,594.0,3483.0
중식음식점,3110147,931190.2,456362.0,474827.75,97393.92,266243.38,167291.17,127327.09,110395.08,162539.16,274111.03,197012.12,98108.09,94786.02,141121.89,126049.98,130938.375,131525.19,133144.31,131995.05,130998.18,134230.06,138357.19,225.0,6012.0
중식음식점,3110148,778050.0,370452.28,407596.62,79958.91,333075.38,130010.98,85228.98,69435.98,80336.98,204364.95,161230.52,97881.516,92828.27,123290.24,98452.83,111631.805,112965.2,114858.81,111695.84,109716.89,108491.86,108688.66,22.0,1588.0
중식음식점,3110149,188839.95,94265.98,94575.016,20121.0,58057.062,34324.992,28011.002,22729.002,25600.037,50327.008,40271.992,23859.996,22997.0,28271.998,23114.982,27493.006,27645.996,27782.0,27524.994,26973.0,25423.0,26001.002,214.0,1065.0
중식음식점,3110150,1756661.4,851201.2,905460.2,171186.05,345297.84,377968.75,272794.1,239077.05,350335.25,548073.2,368854.22,173181.05,166435.25,257869.05,242250.05,246409.05,246865.2,251128.05,248245.05,246779.19,257297.1,259938.03,1119.0,5501.0
중식음식점,3110151,1349794.6,648402.3,701391.2,211935.05,168990.3,233024.05,255777.7,198533.05,281535.03,416338.5,279022.3,133813.4,132870.06,204055.11,183697.05,187982.05,187036.23,188586.06,186969.19,188037.05,202757.12,208428.16,720.0,4293.0
중식음식점,3110152,217454.19,107501.17,109951.234,29213.02,27295.035,39955.152,35602.01,35808.01,49581.016,77676.02,45888.137,19142.117,18180.05,26825.023,29741.027,30428.072,30663.143,30711.176,30832.053,30773.09,31843.05,32203.055,256.0,1998.0
중식음식점,3110153,292140.9,137546.0,154592.95,27484.004,64653.0,62876.0,45395.99,39721.992,52009.99,69365.01,56084.004,33385.992,35006.0,56959.02,41341.97,41255.004,41564.0,41965.99,41699.004,42267.004,42235.99,41150.98,208.0,2291.0
중식음식점,3110154,1725741.6,818780.5,906961.06,232375.05,243448.08,284773.1,283894.1,274681.2,406570.53,503798.1,350118.9,179163.14,181695.05,273961.1,237004.05,240443.12,241636.05,242184.95,239828.95,239994.0,255706.05,265952.03,1449.0,4109.0
중식음식점,3110155,1034677.25,488333.97,546361.6,156044.95,323440.78,180863.92,141992.94,116007.98,116347.016,254954.88,226375.95,140463.86,134150.92,155665.7,123086.38,154449.44,155805.1,154447.94,154039.55,150380.42,133380.55,132192.75,1480.0,4025.0
중식음식점,3110156,938656.06,436470.06,502187.03,116549.01,208412.95,210772.95,139428.95,115004.98,148486.02,312199.03,198211.02,88260.01,83330.01,125012.0,131646.02,132149.0,133461.02,134575.02,132688.02,132516.02,135591.98,137675.02,332.0,5971.0
중식음식점,3110157,1398948.6,653537.9,745410.9,259893.95,158245.05,235340.97,257686.95,191930.95,295848.97,434288.9,286095.94,134402.05,138429.98,211123.95,194608.95,194939.95,196254.97,197490.97,196196.97,194518.97,206119.97,213424.97,613.0,5379.0
중식음식점,3110158,3090011.2,1416009.9,1674001.9,356391.03,418879.9,548520.8,434014.03,522764.12,809440.94,989035.8,622212.2,289307.03,286916.1,462590.1,439949.97,428896.1,428110.97,434893.97,428187.0,428037.97,457917.97,483966.9,268.0,6201.0
중식음식점,3110159,3558946.2,1711065.6,1847880.0,426705.9,645230.6,616102.06,544293.8,548379.94,778232.25,926845.0,728628.0,409719.0,413525.9,606756.8,473468.9,506874.0,504661.97,507194.03,505722.0,505005.9,514549.0,514940.06,2715.0,8475.0
중식음식점,3110160,472323.38,232661.1,239661.23,78240.01,83513.84,82746.02,78585.02,68246.02,80990.02,141834.1,105019.02,51218.96,47378.984,65962.03,60909.01,67892.02,68265.02,67683.02,67768.02,66943.02,65829.02,67942.02,330.0,1720.0
중식음식점,3110161,596624.1,275255.9,321368.06,65785.03,82468.01,109203.01,86284.01,101194.15,151691.02,162345.0,116819.01,67009.016,68542.02,102267.016,79642.99,83586.02,83343.02,83861.016,83936.99,83250.98,87505.02,91141.016,194.0,4609.0
중식음식점,3110162,371031.97,170259.95,200772.97,62084.0,56557.99,68124.945,60570.99,51015.99,72681.016,119898.98,74586.01,34163.004,33913.99,54542.0,53927.01,51819.99,52164.01,53082.99,52267.99,51800.99,54375.99,55520.004,181.0,3566.0
중식음식점,3110163,556485.8,258875.95,297611.8,113676.98,60239.96,88408.98,86137.01,82913.98,125109.01,152863.94,120234.94,62927.99,62336.004,85976.97,72146.945,79080.98,79776.96,79166.02,79495.98,80171.98,79430.98,79364.95,740.0,2799.0
