bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
MA010120220800062713,매우당,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,66,123,서울특별시 광진구 구의동 66-123,1.12154E+11,서울특별시 광진구 광나루로39길,3,,1.12151E+24,,서울특별시 광진구 광나루로39길 3,143819,4977,,1,,127.08905519,37.54516861
MA010120220800016948,놀부부대찌개스타시티점,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215840,자양3동,1121510500,자양동,1.12151E+18,1,대지,227,7,서울특별시 광진구 자양동 227-7,1.12153E+11,서울특별시 광진구 아차산로,262,,1.12151E+24,더샵스타시티,서울특별시 광진구 아차산로 262,143730,5065,,1,,127.0729562,37.537007587
MA010120220800055070,초입,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,36,59,서울특별시 광진구 화양동 36-59,1.12154E+11,서울특별시 광진구 동일로24길,29,,1.12151E+24,,서울특별시 광진구 동일로24길 29,143917,5015,,1,,127.06684099,37.543678605
MA010120220800051350,오케이연탄막창구이,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215750,중곡2동,1121510100,중곡동,1.12151E+18,1,대지,38,8,서울특별시 광진구 중곡동 38-8,1.12154E+11,서울특별시 광진구 용마산로21길,78,,1.12151E+24,,서울특별시 광진구 용마산로21길 78,143885,4937,,1,,127.08459261,37.56150698
MA010120220800113545,안채식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215830,자양2동,1121510500,자양동,1.12151E+18,1,대지,678,1,서울특별시 광진구 자양동 678-1,1.12154E+11,서울특별시 광진구 뚝섬로58길,19,,1.12151E+24,광성빌딩,서울특별시 광진구 뚝섬로58길 19,143873,5103,,1,,127.08468278,37.531161276
MA010120220800083588,"마가을고기꽃,고기,야채",,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,364,3,서울특별시 광진구 군자동 364-3,1.12153E+11,서울특별시 광진구 군자로,94,1,1.12151E+24,,서울특별시 광진구 군자로 94-1,143840,5004,,1,,127.07130683,37.551568741
MA010120220800106740,깍뚝,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,111,161,서울특별시 광진구 화양동 111-161,1.12154E+11,서울특별시 광진구 능동로19길,36,,1.12151E+24,점포전체,서울특별시 광진구 능동로19길 36,143915,5009,,1,,127.07183478,37.547459869
MA010120220800108192,인생설렁탕건대역점,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,48,5,서울특별시 광진구 화양동 48-5,1.12153E+11,서울특별시 광진구 아차산로,207,,1.12151E+24,,서울특별시 광진구 아차산로 207,143917,5019,,1,,127.06673722,37.541516265
MA010120220800093225,연탄돼지갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215840,자양3동,1121510500,자양동,1.12151E+18,1,대지,227,263,서울특별시 광진구 자양동 227-263,1.12153E+11,서울특별시 광진구 자양번영로,69,,1.12151E+24,,서울특별시 광진구 자양번영로 69,143854,5066,,1,,127.07622482,37.535744122
MA010120220800145955,마마브런치,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,24,11,서울특별시 광진구 화양동 24-11,1.12153E+11,서울특별시 광진구 동일로,158,,1.12151E+24,,서울특별시 광진구 동일로 158,143916,5013,,2,,127.06659432,37.546228572
MA010120220800299708,백순대본가새맛군자점,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,358,9,서울특별시 광진구 군자동 358-9,1.12153E+11,서울특별시 광진구 광나루로,361,,1.12151E+24,광진동양파라곤2단지,서울특별시 광진구 광나루로 361,143840,5003,,1,,127.06975355,37.548470235
MA010120220800306311,미친곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,471,12,서울특별시 광진구 군자동 471-12,1.12154E+11,서울특별시 광진구 군자로17길,41,,1.12151E+24,,서울특별시 광진구 군자로17길 41,143838,4996,,1,,127.0773104,37.557079068
MA010120220800296303,유명한감자탕,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,212,29,서울특별시 광진구 구의동 212-29,1.12153E+11,서울특별시 광진구 아차산로,467,,1.12151E+24,,서울특별시 광진구 아차산로 467,143822,5035,,1,,127.09367706,37.540146468
MA010120220800291791,김덕후의곱창조,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,8,94,서울특별시 광진구 화양동 8-94,1.12154E+11,서울특별시 광진구 아차산로33길,21,4,1.12151E+24,,서울특별시 광진구 아차산로33길 21-4,143914,5017,,1,,127.07005245,37.541370185
MA010120220800231208,선장훅,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,45,38,서울특별시 광진구 화양동 45-38,1.12154E+11,서울특별시 광진구 동일로24길,38,1,1.12151E+24,,서울특별시 광진구 동일로24길 38-1,143917,5019,,,,127.0672594,37.543381038
MA010120220800420853,이동왕갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215847,자양4동,1121510500,자양동,1.12151E+18,1,대지,553,261,서울특별시 광진구 자양동 553-261,1.12154E+11,서울특별시 광진구 뚝섬로30길,45,,1.12151E+24,,서울특별시 광진구 뚝섬로30길 45,143862,5085,,,,127.06745502,37.534443006
MA010120220800332750,장수마을정육식당,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,100,105,서울특별시 광진구 군자동 100-105,1.12153E+11,서울특별시 광진구 군자로,100,,1.12151E+24,,서울특별시 광진구 군자로 100,143839,5004,,1,,127.07146562,37.551938054
MA010120220800386550,전주식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215770,중곡4동,1121510100,중곡동,1.12151E+18,1,대지,79,15,서울특별시 광진구 중곡동 79-15,1.12154E+11,서울특별시 광진구 용마산로6길,17,,1.12151E+24,,서울특별시 광진구 용마산로6길 17,143888,4949,,1,,127.08886622,37.557557475
MA010120220800388287,태천면옥,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,258,39,서울특별시 광진구 광장동 258-39,1.12153E+11,서울특별시 광진구 광장로,49,,1.12151E+24,,서울특별시 광진구 광장로 49,143806,4966,,1,,127.10267077,37.547130744
MA010120220800373531,황금돈삼겹살,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215820,자양1동,1121510500,자양동,1.12151E+18,1,대지,614,21,서울특별시 광진구 자양동 614-21,1.12154E+11,서울특별시 광진구 뚝섬로45길,15,,1.12151E+24,,서울특별시 광진구 뚝섬로45길 15,143866,5062,,1,,127.07742177,37.533445792
MA010120220800369919,고오기,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,11,서울특별시,11215,광진구,11215770,중곡4동,1121510100,중곡동,1.12151E+18,1,대지,115,3,서울특별시 광진구 중곡동 115-3,1.12154E+11,서울특별시 광진구 천호대로127길,8,,1.12151E+24,,서울특별시 광진구 천호대로127길 8,143889,4953,,1,,127.08931405,37.553475619
MA010120220800376828,광주식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,184,,서울특별시 광진구 군자동 184,1.12153E+11,서울특별시 광진구 동일로,278,,1.12151E+24,,서울특별시 광진구 동일로 278,143838,5000,,1,,127.07227318,37.556145222
MA010120220800463628,비너스,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215740,중곡1동,1121510100,중곡동,1.12151E+18,1,대지,245,5,서울특별시 광진구 중곡동 245-5,1.12153E+11,서울특별시 광진구 면목로,97,,1.12151E+24,,서울특별시 광진구 면목로 97,143904,4913,,,,127.07919474,37.5623937
